,theme,start_time,end_time,affected_sectors,severity_ratio,answer_ratio,sources,location,df_index
278,Inundacion,2023-09-03,2023-09-05,"['Agua y Alimentos', 'Aguas Residuales', 'Transporte', 'Sanidad']","{'Transporte': 0.5486111111111112, 'Sanidad': 0.7916666666666667, 'Agua y Alimentos': 0.638888888888889, 'Aguas Residuales': 0.75}","{6: 0.59375, 7: 0.6111111111111112, 8: 0.7777777777777778, 5: 0.5, 10: 0.75, 11: 0.875, 12: 0.625, 13: 0.875, 15: 0.5833333333333334, 16: 0.8333333333333334, 14: 0.75, 17: 0.75, 18: 0.75, 19: 0.75}","['https://www.diariodecadiz.es/cadiz/imagenes-lluvias-Cadiz_3_1826547332.html', 'https://www.europapress.es/esandalucia/cadiz/noticia-finaliza-situacion-preemergencia-plan-emergencia-riesgo-inundaciones-provincia-cadiz-20230903184404.html', 'https://www.lavozdigital.es/provincia/video-inundaciones-san-jose-valle-fuertes-lluvias-20230903141352-viv.html', 'https://www.eldiario.es/andalucia/cadiz/activado-aviso-rojo-lluvias-campina-gaditana-120-litros-12-horas_1_10484247.html', 'https://www.lavozdelsur.es/ediciones/provincia-cadiz/fin-aviso-rojo-en-cadiz-con-coches-atascados-agua-hasta-rodillas_301353_102.html', 'https://elpais.com/espana/2023-09-03/la-dana-mantiene-a-11-comunidades-bajo-aviso-por-fuertes-lluvias-y-tormentas.html', 'https://www.canalsur.es/noticias/andalucia/llega-la-dana-a-andalucia-mucha-lluvia-y-bajada-de-temperaturas/1960477.html', 'https://www.diariodejerez.es/jerez/rio-Guadalete-traga-Puente-Chico-Barca-Jerez-video_0_1889811127.html', 'https://www.antena3.com/noticias/sociedad/ultima-hora-temporal-dana-alerta-roja-madrid-inundaciones-valencia-confinamiento-tarragona_2023090364f45fc5714dff0001d13beb.html', 'https://www.lavozdigital.es/provincia/video-inundaciones-chipiona-debido-fuertes-lluvias-20230903124105-viv.html', 'https://www.estadiodeportivo.com/estar-al-dia/sociedad/dana-lluvias-torrenciales-espana-directo-madrid-otras-zona-alerta-roja-20230903-427211.html', 'https://www.europapress.es/esandalucia/cadiz/noticia-junta-eleva-cadiz-plan-emergencia-fase-preemergencia-riesgo-inundaciones-paso-dana-20230903145854.html', 'https://www.diariodecadiz.es/vivir_en_cadiz/Alerta-roja-Cadiz-inundaciones-Jose-Valle-video_0_1826517789.html']",Cadiz,53
279,Luvias Intensas,2023-09-03,2023-09-05,"['Agua y Alimentos', 'Transporte', 'Sanidad']","{'Transporte': 0.5625, 'Agua y Alimentos': 0.6944444444444445, 'Sanidad': 0.625}","{6: 0.5, 7: 0.75, 8: 0.8125, 14: 0.75, 15: 0.6666666666666666, 16: 0.6666666666666666, 5: 0.625, 10: 0.625, 11: 0.625, 12: 0.75, 13: 0.5}","['https://www.canalsur.es/noticias/andalucia/sevilla/la-dana-deja-importantes-lluvias-en-andalucia/1960620.html', 'https://elpais.com/espana/2023-09-03/la-dana-mantiene-a-11-comunidades-bajo-aviso-por-fuertes-lluvias-y-tormentas.html', 'https://www.canalsur.es/noticias/andalucia/llega-la-dana-a-andalucia-mucha-lluvia-y-bajada-de-temperaturas/1960477.html', 'https://www.rtve.es/noticias/20230904/efectos-dana-ultima-hora-directo-madrid-toledo/2455085.shtml']",Cadiz,53
280,Desbordamientos,2023-09-03,2023-09-05,"['Agua y Alimentos', 'Sanidad', 'Transporte', 'Aguas Residuales']","{'Transporte': 0.5982142857142857, 'Aguas Residuales': 0.8823529411764706, 'Agua y Alimentos': 0.6944444444444445, 'Sanidad': 0.9166666666666666}","{5: 0.4, 6: 0.75, 7: 0.6785714285714286, 8: 0.8928571428571429, 17: 0.75, 18: 0.625, 19: 1.0, 14: 0.6666666666666666, 15: 0.9166666666666666, 16: 0.5, 10: 1.0, 11: 0.75, 12: 1.0, 13: 1.0}","['https://www.diariodecadiz.es/vivir_en_cadiz/Alerta-roja-Cadiz-inundaciones-Jose-Valle-video_0_1826517789.html', 'https://www.diariodejerez.es/jerez/rio-Guadalete-traga-Puente-Chico-Barca-Jerez-video_0_1889811127.html', 'https://www.portaldecadiz.com/provinciacadiz/87030-cadiz-en-el-epicentro-de-las-lluvias-en-andalucia-cinco-municipios-entre-los-mas-afectados', 'https://www.rtve.es/noticias/20230904/mapa-precipitaciones-dejado-dana-tres-dias-por-toda-espana/2455151.shtml', 'https://www.eltiempo.es/noticias/grecia-temporal-borrasca-septiembre-imagenes', 'https://www.ondacero.es/noticias/sociedad/filomena-lluvias-ultima-hora-dana-cortes-carreteras-lluvias-torrenciales-madrid-toledo_2023090364f47f085df8e30001fbcbd9.html', 'https://www.elconfidencial.com/espana/2023-09-04/tiempo-espana-hoy-dana-aemet-directo_3728442/', 'https://www.rtve.es/noticias/20230903/efectos-dana-ultima-hora-directo-madrid-toledo/2455109.shtml']",Cadiz,53
281,Crecida,2023-09-03,2023-09-05,"['Agua y Alimentos', 'Aguas Residuales', 'Transporte', 'Sanidad']","{'Transporte': 0.578125, 'Sanidad': 0.6666666666666667, 'Aguas Residuales': 0.8529411764705882, 'Agua y Alimentos': 0.6666666666666667}","{5: 0.5416666666666666, 6: 0.55, 7: 0.78125, 8: 0.78125, 10: 0.75, 11: 0.75, 12: 1.0, 13: 1.0, 17: 1.0, 18: 1.0, 19: 0.75, 14: 0.75, 15: 0.625, 16: 0.625}","['https://elpais.com/espana/2023-09-03/la-dana-mantiene-a-11-comunidades-bajo-aviso-por-fuertes-lluvias-y-tormentas.html', 'https://www.articulo66.com/2023/09/04/tres-muertos-tres-desaparecidos-lluvias-torrenciales-espana/', 'https://narfgranada.wordpress.com/', 'https://www.antena3.com/noticias/sociedad/ultima-hora-temporal-dana-alerta-roja-madrid-inundaciones-valencia-confinamiento-tarragona_2023090364f45fc5714dff0001d13beb.html', 'https://www.ondacero.es/noticias/sociedad/filomena-lluvias-ultima-hora-dana-cortes-carreteras-lluvias-torrenciales-madrid-toledo_2023090364f47f085df8e30001fbcbd9.html', 'https://www.laprensa.hn/mundo/espana-fuertes-lluvias-muertos-estragos-desaparecidos-inundaciones-OM15192194', 'https://www.ecuavisa.com/mundo/espana-fuertes-lluvias-muertos-desaparecidos-FX5909430', 'https://www.elespanol.com/sociedad/20230904/pueblo-espana-llovio-dana-litros-agua-solo-horas/791921158_0.html', 'https://elpais.com/espana/2023-09-03/inundaciones-personas-atrapadas-y-carreteras-cortadas-por-el-temporal.html']",Cadiz,53
282,Dana,2023-09-03,2023-09-05,"['Agua y Alimentos', 'Transporte', 'Sanidad']","{'Transporte': 0.4375, 'Sanidad': 0.7916666666666666, 'Agua y Alimentos': 0.75}","{5: 0.3333333333333333, 6: 0.25, 8: 0.6666666666666666, 7: 0.875, 10: 0.75, 11: 1.0, 12: 0.75, 13: 0.5, 14: 0.75, 15: 0.75, 16: 0.75}","['https://www.diariodecadiz.es/vivir_en_cadiz/Dana-Cadiz-Aemet-alerta-amarilla-naranja-provincia_0_1826517580.html', 'https://www.canalsur.es/noticias/andalucia/llega-la-dana-a-andalucia-mucha-lluvia-y-bajada-de-temperaturas/1960477.html', 'https://www.europapress.es/sociedad/noticia-dana-dejara-domingo-fuertes-lluvias-tormentas-centro-suroeste-peninsula-20230902153114.html', 'https://vivacadiz.es/cadiz/1345472/la-dana-pasa-casi-de-largo-por-cadiz-capital-con-ligeras-lluvias/', 'https://www.canalsur.es/noticias/andalucia/sevilla/la-dana-deja-importantes-lluvias-en-andalucia/1960620.html']",Cadiz,53
283,Inundacion,2023-10-20,2023-10-22,['Transporte'],{'Transporte': 0.65625},"{5: 0.5, 6: 0.75, 7: 0.5, 8: 0.875}","['https://elpais.com/espana/2023-10-22/la-borrasca-bernard-interrumpe-el-trafico-maritimo-en-el-estrecho-corta-la-autovia-de-cadiz-y-causa-danos-en-toda-andalucia.html', 'https://www.diariodehuelva.es/articulo/area-metropolitana/aviso-naranja-llegada-domingo-huelva-borrasca-gran-impacto-bernard/20231021133748310014.html', 'https://www.aemet.es/en/conocermas/borrascas/2023-2024/estudios_e_impactos/bernard', 'https://www.diariodecadiz.es/noticias-provincia-cadiz/lluvia-alcanza-Grazalema-borrasca-Aline_0_1840616350.html']",Cadiz,54
284,Luvias Intensas,2023-10-20,2023-10-22,"['Agua y Alimentos', 'Transporte']","{'Transporte': 0.5625, 'Agua y Alimentos': 0.6666666666666666}","{5: 0.75, 6: 0.75, 7: 0.25, 8: 0.5, 14: 0.75, 15: 0.75, 16: 0.5}","['https://efeverde.com/borrasca-bernard-andalucia-muerto/', 'https://es.e-noticies.cat/sociedad/nueva-borrasca-domingo-avisos-aemet-22-octubre', 'https://www.larazon.es/el-tiempo/temporal-espana-directo-alertas-ultima-hora-zonas-afectadas-borrasca-aline_20231020653216c4a1cbe00001722a03.html']",Cadiz,54
285,Dana,2023-10-20,2023-10-22,"['Transporte', 'Energia']","{'Transporte': 0.53125, 'Energia': 0.46875}","{5: 0.4166666666666667, 6: 0.75, 7: 0.6875, 8: 0.5625, 0: 0.75, 1: 0.75}","['https://www.eltiempo.es/noticias/temporal-en-huelva-y-cadiz-un-fallecido-y-numerosos-danos-materiales', 'https://elpais.com/espana/2023-10-22/la-borrasca-bernard-interrumpe-el-trafico-maritimo-en-el-estrecho-corta-la-autovia-de-cadiz-y-causa-danos-en-toda-andalucia.html', 'https://www.telecinco.es/noticias/sociedad/20231022/borrasca-bernard-afecta-cadiz-sevilla-huelva-caos-trenes-arboles_18_010774629.html', 'https://www.elindependiente.com/futuro/meteorologia/2023/10/22/borrasca-bernard-octubre-2023/', 'https://www.antena3.com/noticias/el-tiempo/actualidad/borrasca-bernard-directo-ultima-hora-lluvias-viento-oleaje-hoy_202310236536302832dc750001b59441.html', 'https://www.diariodejerez.es/jerez/fuertes-obligan-bomberos-distintos-Jerez-video_0_1841216633.html']",Cadiz,54
286,Tempestad,2023-10-24,2023-11-01,['Transporte'],{'Transporte': 0.6875},"{5: 0.25, 6: 0.75, 7: 0.875, 8: 0.875}","['https://www.portaldecadiz.com/cadiz-capital/90319-el-temporal-destroza-parte-de-la-terminal-maritima-servicio-de-catamaranes-suspendido-temporalmente', 'https://www.aemet.es/en/conocermas/borrascas/2023-2024/estudios_e_impactos/bernard']",Cadiz,55
287,Borrasca,2023-10-24,2023-11-01,"['Agua y Alimentos', 'Transporte']","{'Transporte': 0.71875, 'Agua y Alimentos': 0.75}","{5: 0.875, 6: 0.625, 7: 0.75, 8: 0.625, 14: 0.75, 15: 0.75, 16: 0.75}","['https://www.aemet.es/en/conocermas/borrascas/2023-2024/estudios_e_impactos/bernard', 'https://aemetblog.es/2023/10/30/informe-operativo-semanal-del-16-al-22-de-octubre-de-2023/']",Cadiz,55
288,Vientos fuertes,2023-10-24,2023-11-01,"['Agua y Alimentos', 'Transporte']","{'Transporte': 0.75, 'Agua y Alimentos': 0.75}","{5: 0.75, 6: 0.75, 7: 0.75, 8: 0.75, 14: 0.75, 15: 0.75, 16: 0.75}",['https://aemetblog.es/2023/10/30/informe-operativo-semanal-del-16-al-22-de-octubre-de-2023/'],Cadiz,55
289,Inundacion,2023-09-12,2023-09-15,"['Agua y Alimentos', 'Transporte', 'Aguas Residuales']","{'Aguas Residuales': 0.7156862745098039, 'Transporte': 0.46875, 'Agua y Alimentos': 0.8333333333333334}","{17: 0.6666666666666666, 18: 0.6666666666666666, 19: 0.75, 6: 0.4375, 8: 0.6875, 5: 0.625, 7: 0.5833333333333334, 14: 1.0, 15: 0.75, 16: 0.75}","['https://www.ondacero.es/emisoras/cantabria/noticias/inundaciones-balsas-agua-argayos-principales-incidencias-lluvia-caida-cantabria_20230912650023457caa7b0001bd830c.html', 'https://efe.com/cantabria/2023-09-12/santander-recupera-la-normalidad-tras-las-trombas-de-agua/', 'https://www.antena3.com/noticias/el-tiempo/actualidad/santander-inunda-brutal-tormenta_2023091265000a2fd60bc60001c7329f.html', 'https://www.eldiariomontanes.es/santander/tormenta-provoca-pequenas-inundaciones-centro-santander-20230911220321-nt.html', 'https://as.com/tag/santander/a/1', 'https://eldiariocantabria.publico.es/articulo/oriental/obras-acabar-inundaciones-comenzaran-proximo-verano-terminaran-2025/20230920141512143246.html', 'https://cadenaser.com/cantabria/2023/09/20/las-obras-del-rio-ason-en-ampuero-comenzaran-el-proximo-verano-ser-ason/', 'https://www.20minutos.es/noticia/5171549/0/tiempo-lluvias-santander-inundada-por-lluvia-trombas-agua/', 'https://www.cope.es/emisoras/cantabria/cantabria-provincia/santander/noticias/lluvia-inunda-varias-zonas-santander-20230912_2893360', 'https://eldiariocantabria.publico.es/articulo/santander/tormentas-dejan-inundaciones-brutales-santander/20230912103122142802.html']",Cantabria,57
290,Luvias Intensas,2023-09-12,2023-09-15,"['Agua y Alimentos', 'Transporte', 'Aguas Residuales']","{'Transporte': 0.59375, 'Agua y Alimentos': 0.8333333333333334, 'Aguas Residuales': 0.4264705882352941}","{5: 0.75, 6: 0.75, 7: 0.625, 8: 0.625, 14: 1.0, 15: 0.75, 16: 0.75, 17: 0.25, 18: 0.5, 19: 0.5}","['https://www.antena3.com/noticias/el-tiempo/actualidad/santander-inunda-brutal-tormenta_2023091265000a2fd60bc60001c7329f.html', 'https://www.ondacero.es/emisoras/cantabria/noticias/llega-cantabria-nueva-borrasca-estas-son-alertas-activas-jueves-viernes_20230921650c1d6b98383a00012b7839.html', 'https://cadenaser.com/nacional/2023/09/20/la-dana-se-aleja-y-abre-paso-a-un-nuevo-frente-que-amenaza-a-la-peninsula-con-fuertes-lluvias-y-tormentas-cadena-ser/', 'https://www.larazon.es/el-tiempo/borrasca-fria-espana-directo-ultima-hora-temporal-tormentas-lluvias-torrenciales-granizo_202309156503f12998383a00011cd4c1.html', 'https://www.eldiariomontanes.es/cantabria/herido-tras-volcar-coche-altura-laredo-20230912195936-nt.html']",Cantabria,57
291,Desbordamientos,2023-09-12,2023-09-15,"['Transporte', 'Aguas Residuales']","{'Transporte': 0.4375, 'Aguas Residuales': 0.4264705882352941}","{5: 0.75, 7: 0.5, 8: 0.5, 17: 0.25, 18: 0.5, 19: 0.5}","['https://eldiariocantabria.publico.es/articulo/oriental/obras-acabar-inundaciones-comenzaran-proximo-verano-terminaran-2025/20230920141512143246.html', 'https://www.larazon.es/el-tiempo/borrasca-fria-espana-directo-ultima-hora-temporal-tormentas-lluvias-torrenciales-granizo_202309156503f12998383a00011cd4c1.html']",Cantabria,57
292,Borrasca,2023-01-23,2023-02-02,"['Agua y Alimentos', 'Transporte']","{'Transporte': 0.75, 'Agua y Alimentos': 0.75}","{5: 0.75, 6: 0.75, 7: 0.75, 8: 0.75, 14: 0.5, 15: 1.0, 16: 0.75}",['https://www.aemet.es/en/conocermas/borrascas/2022-2023/estudios_e_impactos/fien'],Cantabria,58
293,Tempestad,2023-10-24,2023-11-01,['Transporte'],{'Transporte': 0.8125},"{5: 0.75, 6: 1.0, 7: 0.75, 8: 0.75}",['https://www.abc.es/sociedad/directo-ultima-hora-invidencias-avisos-aemet-paso-20231102080248-di.html'],Cantabria,59
294,Borrasca,2023-10-24,2023-11-01,['Transporte'],{'Transporte': 0.8125},"{5: 0.75, 6: 0.875, 7: 0.75, 8: 0.875}","['https://www.eltiempo.es/noticias/afectara-la-borrasca-ciaran-a-espana-fuerte-viento-oleaje-lluvias-y-nieve', 'https://www.larazon.es/el-tiempo/borrasca-ciaran-directo-ultima-hora-zonas-espana-afectadas-temporal-lluvia-viento-nieve_202311036544ade8f6ca72000147fd57.html', 'https://www.elconfidencial.com/espana/2023-10-31/aemet-alerta-nueva-borrasca-ciaran-vientos-lluvias_3764475/', 'https://www.marca.com/tiramillas/actualidad/2023/10/30/653f973e22601d573a8b4588.html']",Cantabria,59
295,Temporal,2023-10-24,2023-11-01,['Transporte'],{'Transporte': 0.6041666666666666},"{5: 1.0, 6: 0.8333333333333334, 8: 0.5833333333333334, 7: 1.0}","['https://metropoliabierta.elespanol.com/vivir-en-barcelona/20231028/un-avion-del-prat-con-destino-santander-regresa-barcelona-por-las-fuertes-rachas-de-viento/805419650_0.html', 'https://www.larazon.es/el-tiempo/borrasca-ciaran-directo-ultima-hora-zonas-espana-afectadas-temporal-lluvia-viento-nieve_202311036544ade8f6ca72000147fd57.html', 'https://www.ondacero.es/emisoras/cantabria/noticias/aemet-activa-avisos-naranjas-viento-fenomenos-costeros-cantabria_20231027653b943132dc750001489c70.html']",Cantabria,59
296,Vientos fuertes,2023-10-24,2023-11-01,['Transporte'],{'Transporte': 0.6458333333333334},"{5: 1.0, 6: 0.75, 7: 0.75, 8: 0.6666666666666666}","['https://www.larazon.es/el-tiempo/borrasca-ciaran-directo-ultima-hora-zonas-espana-afectadas-temporal-lluvia-viento-nieve_202311036544ade8f6ca72000147fd57.html', 'https://www.elconfidencial.com/espana/2023-10-30/alerta-aemet-borrasca-espana-jueves-vientos-lluvias_3764082/', 'https://www.eltiempo.es/noticias/afectara-la-borrasca-ciaran-a-espana-fuerte-viento-oleaje-lluvias-y-nieve', 'https://metropoliabierta.elespanol.com/vivir-en-barcelona/20231028/un-avion-del-prat-con-destino-santander-regresa-barcelona-por-las-fuertes-rachas-de-viento/805419650_0.html']",Cantabria,59
297,Inundacion,2023-05-27,2023-06-01,"['Agua y Alimentos', 'Transporte']","{'Transporte': 0.4375, 'Agua y Alimentos': 0.75}","{5: 0.5, 6: 0.5, 7: 0.0, 8: 0.75, 14: 0.5, 15: 1.0, 16: 0.75}",['https://www.elperiodicomediterraneo.com/castello-provincia/2023/05/27/temporal-historico-estragos-castellon-rescates-87937643.html'],Castellon,61
298,Luvias Intensas,2023-05-27,2023-06-01,['Agua y Alimentos'],{'Agua y Alimentos': 0.4166666666666667},"{14: 0.25, 15: 0.5, 16: 0.5}",['https://www.abc.es/sociedad/sequia-inundaciones-aprovechan-lluvias-torrenciales-20230527010200-nt.html'],Castellon,61
299,Desbordamientos,2023-05-27,2023-06-01,"['Sanidad', 'Transporte', 'Agua y Alimentos']","{'Transporte': 0.6875, 'Sanidad': 0.625, 'Agua y Alimentos': 0.6666666666666666}","{5: 0.75, 6: 0.75, 7: 0.5, 8: 0.75, 10: 0.75, 11: 0.5, 12: 0.5, 13: 0.75, 14: 0.75, 15: 0.5, 16: 0.75}",['https://www.elplural.com/sociedad/videos-mas-espectaculares-paso-dana-espana_311507102'],Castellon,61
300,Crecida,2023-05-27,2023-06-01,"['Agua y Alimentos', 'Transporte']","{'Transporte': 0.125, 'Agua y Alimentos': 0.4166666666666667}","{8: 0.5, 15: 0.5, 16: 0.75}",['https://www.heraldo.es/noticias/nacional/2023/05/27/pronostico-meteorologico-jornada-electoral-28-m-lluvias-1654559.html'],Castellon,61
301,Dana,2023-05-27,2023-06-01,"['Agua y Alimentos', 'Transporte']","{'Transporte': 0.4375, 'Agua y Alimentos': 0.75}","{5: 0.5, 6: 0.5, 7: 0.0, 8: 0.75, 14: 0.5, 15: 1.0, 16: 0.75}",['https://www.elperiodicomediterraneo.com/castello-provincia/2023/05/27/temporal-historico-estragos-castellon-rescates-87937643.html'],Castellon,61
302,Inundacion,2023-09-04,2023-09-08,['Transporte'],{'Transporte': 0.71875},"{5: 0.75, 6: 1.0, 7: 0.75, 8: 0.875}","['https://www.lasexta.com/noticias/sociedad/fuerte-reventon-termico-deja-graves-inundaciones-burriana-nules_20230913650181fe7caa7b0001c084e2.html', 'https://www.rtve.es/noticias/20230904/efectos-dana-ultima-hora-directo-madrid-toledo/2455085.shtml']",Castellon,62
303,Luvias Intensas,2023-09-04,2023-09-08,"['Agua y Alimentos', 'Transporte']","{'Transporte': 0.59375, 'Agua y Alimentos': 0.5}","{5: 0.5, 6: 0.5, 7: 0.75, 8: 0.625, 14: 0.75, 15: 0.25, 16: 0.5}","['https://www.lasprovincias.es/comunitat/el-tiempo/aemet-reactiva-doble-alerta-lluvias-intensas-valencia-dana-bfa-20230913174327-nt.html', 'https://www.levante-emv.com/comunitat-valenciana/2023/09/12/intenso-temporal-provoca-caos-burriana-92010067.html', 'https://www.lasprovincias.es/comunitat/el-tiempo/aemet-activa-alerta-amarilla-valencia-preve-lluvias-20230911180016-nt.html', 'https://www.elperiodicomediterraneo.com/castello-provincia/2023/09/12/tiempo-castellon-lluvia-granizo-aemet-alerta-naranja-amarilla-92004960.html']",Castellon,62
304,Desbordamientos,2023-09-04,2023-09-08,['Transporte'],{'Transporte': 0.8125},"{5: 0.5, 6: 1.0, 7: 0.75, 8: 1.0}",['https://www.lasexta.com/noticias/sociedad/fuerte-reventon-termico-deja-graves-inundaciones-burriana-nules_20230913650181fe7caa7b0001c084e2.html'],Castellon,62
305,Crecida,2023-09-04,2023-09-08,"['Agua y Alimentos', 'Transporte', 'Sanidad', 'Aguas Residuales']","{'Transporte': 0.6875, 'Agua y Alimentos': 0.6944444444444445, 'Sanidad': 0.6041666666666666, 'Aguas Residuales': 0.9705882352941176}","{5: 0.75, 6: 1.0, 7: 0.8125, 8: 0.875, 14: 0.75, 15: 0.8333333333333334, 16: 0.75, 10: 1.0, 11: 0.375, 12: 0.75, 13: 1.0, 17: 1.0, 18: 0.75, 19: 1.0}","['https://www.20minutos.es/imagenes/nacional/5169105-imagenes-dana-lluvias-tormentas-espana/', 'https://www.antena3.com/noticias/sociedad/ultima-hora-temporal-dana-alerta-roja-madrid-inundaciones-valencia-confinamiento-tarragona_2023090364f45fc5714dff0001d13beb.html', 'https://www.rtve.es/noticias/20230904/efectos-dana-ultima-hora-directo-madrid-toledo/2455085.shtml', 'https://www.elmundo.es/espana/2023/09/04/64f57ae3fb7e8000298e056f-directo.html']",Castellon,62
306,Inundacion,2023-09-13,2023-09-15,"['Agua y Alimentos', 'Transporte']","{'Transporte': 0.6875, 'Agua y Alimentos': 0.75}","{5: 0.375, 6: 0.75, 7: 0.75, 8: 0.875, 14: 0.75, 15: 0.75, 16: 0.75}","['https://www.lasexta.com/noticias/sociedad/fuerte-reventon-termico-deja-graves-inundaciones-burriana-nules_20230913650181fe7caa7b0001c084e2.html', 'https://www.lasprovincias.es/comunitat/el-tiempo/dana-irregular-deja-fuertes-trombas-valencia-litros-20230919184037-nt.html', 'https://www.20minutos.es/noticia/5174176/0/granizadas-tormentas-electricas-trombas-agua-inundaciones-los-efectos-dana-comunidad-valenciana/']",Castellon,63
307,Luvias Intensas,2023-09-13,2023-09-15,"['Agua y Alimentos', 'Transporte']","{'Agua y Alimentos': 0.7916666666666667, 'Transporte': 0.5625}","{14: 0.875, 15: 0.75, 16: 0.75, 5: 0.25, 6: 0.5, 7: 0.75, 8: 0.75}","['https://www.lasprovincias.es/comunitat/el-tiempo/aemet-anuncia-lluvias-intensas-llegada-dana-valencia-20230915180008-nt.html', 'https://www.levante-emv.com/comunitat-valenciana/2023/09/19/dana-descarga-fuerza-mitad-norte-92306156.html', 'https://www.antena3.com/noticias/el-tiempo/actualidad/albacete-castellon-victimas-graves-granizadas-riadas-este-domingo_2023091765073d8a4fd7bf0001a00427.html', 'https://www.20minutos.es/noticia/5174176/0/granizadas-tormentas-electricas-trombas-agua-inundaciones-los-efectos-dana-comunidad-valenciana/', 'https://www.lasprovincias.es/comunitat/el-tiempo/aemet-reactiva-doble-alerta-lluvias-intensas-valencia-dana-bfa-20230913174327-nt.html', 'https://www.lasprovincias.es/comunitat/directo-temporal-lluvias-azota-comunitat-valenciana-20230915164442-di.html', 'https://www.lasprovincias.es/comunitat/el-tiempo/dana-irregular-deja-fuertes-trombas-valencia-litros-20230919184037-nt.html', 'https://www.lasprovincias.es/comunitat/el-tiempo/aemet-eleva-alerta-trombas-fuertes-madrugada-comunitat-20230914170457-nt.html']",Castellon,63
308,Desbordamientos,2023-09-13,2023-09-15,"['Agua y Alimentos', 'Transporte']","{'Transporte': 0.59375, 'Agua y Alimentos': 0.5}","{5: 0.5, 6: 0.75, 7: 0.75, 8: 0.625, 14: 0.5, 15: 0.5, 16: 0.5}","['https://www.lasexta.com/noticias/sociedad/fuerte-reventon-termico-deja-graves-inundaciones-burriana-nules_20230913650181fe7caa7b0001c084e2.html', 'https://www.rtve.es/noticias/20230915/intensas-lluvias-alerta-espana-tormentas/2456035.shtml']",Castellon,63
309,Crecida,2023-09-13,2023-09-15,"['Agua y Alimentos', 'Transporte', 'Aguas Residuales']","{'Transporte': 0.4791666666666667, 'Agua y Alimentos': 0.8333333333333334, 'Aguas Residuales': 0.6470588235294118}","{6: 0.5, 7: 0.6666666666666666, 8: 0.5833333333333334, 5: 0.25, 14: 1.0, 15: 0.75, 16: 0.75, 17: 0.5, 18: 0.5, 19: 0.75}","['https://www.rtve.es/noticias/20230917/intensas-lluvias-provocan-incidencias-castellon-valencia-alerta-naranja/2456177.shtml', 'https://elpais.com/espana/2023-09-17/la-alerta-naranja-deja-fuertes-tormentas-en-castellon-valencia-y-huesca.html', 'https://www.lasprovincias.es/comunitat/lluvia-afecta-comunitat-primera-hora-ceba-aeropuerto-20230915092823-nt.html', 'https://www.betera.com/es/2023/09/15/las-fuertes-lluvias-de-la-manana-del-viernes-tambien-se-han-hecho-notar-en-betera/']",Castellon,63
310,Dana,2023-09-13,2023-09-15,['Agua y Alimentos'],{'Agua y Alimentos': 0.8333333333333334},"{14: 1.0, 15: 0.75, 16: 0.75}","['https://www.lasprovincias.es/comunitat/el-tiempo/primeras-alertas-dana-aemet-preve-horas-fuerte-lluvias-valencia-20230918182217-nt.html', 'https://www.elperiodicomediterraneo.com/castello-provincia/2023/09/19/dana-descarga-fuertes-tormentas-granizo-92303163.html', 'https://www.levante-emv.com/comunitat-valenciana/2023/09/19/dana-descarga-fuerza-mitad-norte-92306156.html', 'https://www.lasprovincias.es/comunitat/el-tiempo/aemet-actualiza-prevision-dana-anuncia-varios-cambios-valencia-20230919175100-nt.html', 'https://www.lasprovincias.es/comunitat/el-tiempo/dana-irregular-deja-fuertes-trombas-valencia-litros-20230919184037-nt.html', 'https://www.lasprovincias.es/comunitat/el-tiempo/aemet-anuncia-lluvias-intensas-llegada-dana-valencia-20230915180008-nt.html']",Castellon,63
311,Tempestad,2023-09-12,2023-09-13,"['Agua y Alimentos', 'Transporte', 'Aguas Residuales']","{'Transporte': 0.453125, 'Agua y Alimentos': 0.6944444444444443, 'Aguas Residuales': 0.6764705882352942}","{5: 0.375, 6: 0.4375, 7: 0.6875, 8: 0.5, 14: 0.75, 15: 0.6666666666666666, 16: 0.6666666666666666, 17: 0.5, 18: 0.75, 19: 0.75}","['https://elpais.com/espana/2023-09-17/la-alerta-naranja-deja-fuertes-tormentas-en-castellon-valencia-y-huesca.html', 'https://www.elperiodicomediterraneo.com/castello-provincia/2023/09/19/dana-descarga-fuertes-tormentas-granizo-92303163.html', 'https://www.publico.es/sociedad/tormentas-provocan-caida-arboles-y-cortes-transporte-valencia-y-castello.html', 'https://www.rtve.es/noticias/20230917/intensas-lluvias-provocan-incidencias-castellon-valencia-alerta-naranja/2456177.shtml', 'https://efe.com/comunidad-valenciana/2023-09-13/burriana-intenta-recuperar-la-normalidad-tras-la-fuerte-tormenta-que-arraso-la-localidad/', 'https://www.elperiodicomediterraneo.com/castello-provincia/2023/09/16/llega-lluvia-castellon-esperan-tormentas-aemet-prevision-tiempo-domingo-92170069.html', 'https://www.antena3.com/programas/espejo-publico/noticias/roberto-brasero-nos-explica-que-fenomeno-reventon-soplaron-vientos-huracanados_202309136501a1457caa7b0001c0d0ec.html', 'https://www.elperiodicomediterraneo.com/castello-provincia/2023/09/12/tiempo-castellon-lluvia-granizo-aemet-alerta-naranja-amarilla-92004960.html']",Castellon,64
